Task Name,Phase,Status,Review Status,Time Needed
"Create Komponen Galeri Media (app/components/pages/admin/gallery/)",Komponen Pages per Modul,Not started,Not Reviewed,1h
"Create GalleryManagementPage.tsx",Komponen Pages per Modul,Not started,Not Reviewed,4h
"Create Komponen Pengaturan & Pengguna (app/components/pages/admin/settings/)",Komponen Pages per Modul,Not started,Not Reviewed,1h
"Create AuthorProfilePage.tsx",Komponen Pages per Modul,Not started,Not Reviewed,4h
"Create SiteSettingsPage.tsx",Komponen Pages per Modul,Not started,Not Reviewed,4h
"Create TrendingManager.tsx",Komponen Pages per Modul,Not started,Not Reviewed,2h
"Reuse Shared DataTable.tsx, FormPageHeader.tsx, ConfirmModal.tsx",Komponen Pages per Modul,Not started,Not Reviewed,1h
"Create API Services (app/lib/apiAdmin.ts)",Data & Hooks,Not started,Not Reviewed,2h
"Implement Instance Axios + Interceptor token",Data & Hooks,Not started,Not Reviewed,2h
"Create Fetcher postArticle, putArticle, deleteArticle",Data & Hooks,Not started,Not Reviewed,2h
"Implement TanStack Query (app/query/admin/)",Data & Hooks,Not started,Not Reviewed,1h
"Create apiAdminArticles.ts",Data & Hooks,Not started,Not Reviewed,2h
"Create Hook useAdminArticlesQuery",Data & Hooks,Not started,Not Reviewed,2h
"Create Hook mutasi (useCreate/Update/DeleteArticleMutation)",Data & Hooks,Not started,Not Reviewed,4h
"Implement onSuccess callback (invalidateQueries)",Data & Hooks,Not started,Not Reviewed,1h
"Implement Replikasi untuk Events, Tags, Categories, Gallery",Data & Hooks,Not started,Not Reviewed,1d
"Create Custom Hooks (app/hooks/admin/)",Data & Hooks,Not started,Not Reviewed,1h
"Create useAdminPagination.ts",Data & Hooks,Not started,Not Reviewed,2h
"Create useImageUpload.ts",Data & Hooks,Not started,Not Reviewed,2h
"Update Types Definition (app/typing/)",Typing & Data Mocking,Not started,Not Reviewed,1h
"Update Article.ts (interface CreateArticlePayload)",Typing & Data Mocking,Not started,Not Reviewed,1h
"Define interface CreateEventPayload dll",Typing & Data Mocking,Not started,Not Reviewed,1h
"Create Mock Data CMS (app/data/mocks-data/admin/mockAdminMutations.ts)",Typing & Data Mocking,Not started,Not Reviewed,2h
"Implement Fungsi simulasi Promise + delay",Typing & Data Mocking,Not started,Not Reviewed,1h
"Implement dukungan loading state & toast notification",Typing & Data Mocking,Not started,Not Reviewed,1h
"Create Widget Statistik Ringkasan (Cards)",Modul Dashboard,Not started,Not Reviewed,4h
"Implement Total artikel (Published & Draft)",Modul Dashboard,Not started,Not Reviewed,1h
"Implement Total event aktif & mendatang",Modul Dashboard,Not started,Not Reviewed,1h
"Implement Total aset galeri",Modul Dashboard,Not started,Not Reviewed,1h
"Design Grafik Analitik Pengunjung",Modul Dashboard,Not started,Not Reviewed,2h
"Implement Grafik tren kunjungan 7 hari",Modul Dashboard,Not started,Not Reviewed,4h
"Create Tabel Aktivitas Terbaru",Modul Dashboard,Not started,Not Reviewed,2h
"Implement Daftar 5-10 artikel terakhir",Modul Dashboard,Not started,Not Reviewed,2h
"Polish Responsivitas dashboard",Modul Dashboard,Not started,Not Reviewed,2h
"Create Halaman Daftar Artikel (List View)",Modul Manajemen Artikel,Not started,Not Reviewed,4h
"Implement Toolbar Pencarian & Filter",Modul Manajemen Artikel,Not started,Not Reviewed,4h
"Implement Kolom Tabel + Aksi",Modul Manajemen Artikel,Not started,Not Reviewed,2h
"Create Halaman Editor Artikel (Create/Edit)",Modul Manajemen Artikel,Not started,Not Reviewed,1d
"Implement Rich Text Editor",Modul Manajemen Artikel,Not started,Not Reviewed,1d
"Design Sidebar Editor (kategori, tags, image, status, SEO)",Modul Manajemen Artikel,Not started,Not Reviewed,4h
"Fix Validasi form",Modul Manajemen Artikel,Not started,Not Reviewed,2h
"Create Halaman Daftar Event",Modul Manajemen Event,Not started,Not Reviewed,4h
"Implement Indikator status event",Modul Manajemen Event,Not started,Not Reviewed,2h
"Create Form Editor Event",Modul Manajemen Event,Not started,Not Reviewed,4h
"Implement Input Tanggal & Waktu",Modul Manajemen Event,Not started,Not Reviewed,2h
"Implement Input Lokasi (Online/Offline)",Modul Manajemen Event,Not started,Not Reviewed,2h
"Implement Uploader Banner Event",Modul Manajemen Event,Not started,Not Reviewed,2h
"Polish Pencarian event",Modul Manajemen Event,Not started,Not Reviewed,2h
"Create Tampilan Media Library (Grid View)",Modul Galeri Media,Not started,Not Reviewed,4h
"Implement Click to Preview",Modul Galeri Media,Not started,Not Reviewed,2h
"Create Fitur Upload Media",Modul Galeri Media,Not started,Not Reviewed,4h
"Implement Drag-and-Drop bulk upload",Modul Galeri Media,Not started,Not Reviewed,4h
"Implement Progress bar per file",Modul Galeri Media,Not started,Not Reviewed,2h
"Create Modal Detail/Edit Media",Modul Galeri Media,Not started,Not Reviewed,2h
"Implement Edit Alt Text, Title, Caption",Modul Galeri Media,Not started,Not Reviewed,2h
"Fix Hapus permanen + modal konfirmasi",Modul Galeri Media,Not started,Not Reviewed,2h
"Create Manajemen Profil Penulis",Modul Pengaturan & Pengguna,Not started,Not Reviewed,4h
"Implement Avatar, Bio, link sosial media",Modul Pengaturan & Pengguna,Not started,Not Reviewed,2h
"Design Pengaturan Umum Situs",Modul Pengaturan & Pengguna,Not started,Not Reviewed,2h
"Create Form Logo, Favicon, Nama Situs",Modul Pengaturan & Pengguna,Not started,Not Reviewed,2h
"Implement Fitur ""Pin to Trending""",Modul Pengaturan & Pengguna,Not started,Not Reviewed,4h
"Setup Sistem Autentikasi (NextAuth.js / Custom JWT)",Autentikasi Admin,Not started,Not Reviewed,1d
"Implement Konfigurasi Provider",Autentikasi Admin,Not started,Not Reviewed,4h
"Create Halaman Login CMS (app/(admin)/login/page.tsx)",Autentikasi Admin,Not started,Not Reviewed,2h
"Implement Manajemen Session/Token",Autentikasi Admin,Not started,Not Reviewed,4h
"Polish ""Remember Me"" & Session Timeout",Autentikasi Admin,Not started,Not Reviewed,2h
"Integrate API Login",Autentikasi Admin,Not started,Not Reviewed,2h
"Connect Form login ke /api/auth/login",Autentikasi Admin,Not started,Not Reviewed,2h
"Create Middleware Proteksi Rute",Keamanan & Akses,Not started,Not Reviewed,4h
"Implement Cek login di middleware.ts",Keamanan & Akses,Not started,Not Reviewed,2h
"Fix Redirect ke /login jika session invalid",Keamanan & Akses,Not started,Not Reviewed,1h
"Design Role-Based Access Control (RBAC)",Keamanan & Akses,Not started,Not Reviewed,4h
"Define Izin Super Admin vs Editor/Penulis",Keamanan & Akses,Not started,Not Reviewed,2h
"Implement Validasi Keamanan API",Keamanan & Akses,Not started,Not Reviewed,4h
"Create Server-side checks",Keamanan & Akses,Not started,Not Reviewed,4h
"Fix Proteksi CSRF & sanitasi input",Keamanan & Akses,Not started,Not Reviewed,2h
"Setup TanStack Query di level Admin",Arsitektur Data,Not started,Not Reviewed,2h
"Implement QueryClientProvider di AdminClientLayout.tsx",Arsitektur Data,Not started,Not Reviewed,1h
"Create Axios Admin Instance",Arsitektur Data,Not started,Not Reviewed,2h
"Implement Request Interceptors (Token Bearer)",Arsitektur Data,Not started,Not Reviewed,2h
"Implement Response Interceptors (error 401)",Arsitektur Data,Not started,Not Reviewed,2h
"Implement Integrasi API Artikel",Operasi CRUD,Not started,Not Reviewed,1h
"Connect GET ke DataTable (pagination server-side)",Operasi CRUD,Not started,Not Reviewed,4h
"Create useCreateArticleMutation",Operasi CRUD,Not started,Not Reviewed,2h
"Create useUpdateArticleMutation",Operasi CRUD,Not started,Not Reviewed,2h
"Create useDeleteArticleMutation",Operasi CRUD,Not started,Not Reviewed,2h
"Implement Integrasi API Event, Kategori, Tags",Operasi CRUD,Not started,Not Reviewed,1d
"Implement API Upload Media",Operasi CRUD,Not started,Not Reviewed,4h
"Connect Uploader ke endpoint upload",Operasi CRUD,Not started,Not Reviewed,2h
"Fix Penanganan respons URL",Operasi CRUD,Not started,Not Reviewed,1h
"Create Sistem Toast Notification",Feedback & Notifikasi,Not started,Not Reviewed,2h
"Implement Notifikasi sukses/gagal",Feedback & Notifikasi,Not started,Not Reviewed,1h
"Design Loading States",Feedback & Notifikasi,Not started,Not Reviewed,1h
"Create Skeletons / Overlay Spinner",Feedback & Notifikasi,Not started,Not Reviewed,2h
